"","project","round","change","count","size","ratio"
"229","47665f5496043","F1","ADD_CHAR",1,509,0.00196463654223969
"230","47682eec02b8d","F1","ADD_CHAR",6,114,0.0526315789473684
"231","4769abac875d9","F1","ADD_CHAR",7,512,0.013671875
"232","476a533acfb33","F1","ADD_CHAR",10,5629,0.001776514478593
"233","476ab8fdeecb2","F1","ADD_CHAR",3,753,0.00398406374501992
"234","476caf60530a7","F1","ADD_CHAR",35,2760,0.0126811594202899
"235","476cb6c8eeb28","F1","ADD_CHAR",38,1191,0.0319059613769941
"236","476cd8845fef4","F1","ADD_CHAR",15,425,0.0352941176470588
"237","476db8362bc47","F1","ADD_CHAR",3,1902,0.00157728706624606
"238","47785e9bc5a27","F1","ADD_CHAR",2,982,0.00203665987780041
"239","47898d0245839","F1","ADD_CHAR",1,1427,0.000700770847932726
"240","4700c619a2a51","F2","ADD_CHAR",90,7506,0.0119904076738609
"241","470295cc33ed4","F2","ADD_CHAR",3,151,0.0198675496688742
"242","470327a780584","F2","ADD_CHAR",23,342,0.0672514619883041
"243","47042bf80f6ed","F2","ADD_CHAR",1,96,0.0104166666666667
"244","47042c255fe99","F2","ADD_CHAR",3,184,0.016304347826087
"245","470599e5e7231","F2","ADD_CHAR",1,92,0.0108695652173913
"246","47086b872f7ff","F2","ADD_CHAR",12,152,0.0789473684210526
"247","4712043fe5b10","F2","ADD_CHAR",1,855,0.00116959064327485
"248","471bd17adea7b","F2","ADD_CHAR",2,1689,0.00118413262285376
"249","471ef8e015034","F2","ADD_CHAR",13,1392,0.00933908045977012
"250","471f002701acc","F2","ADD_CHAR",3,54,0.0555555555555556
"251","4721c79ad1349","F2","ADD_CHAR",4,120,0.0333333333333333
"252","4721c7ed9c966","F2","ADD_CHAR",227,4567,0.049704401138603
"253","4721c8b881f8a","F2","ADD_CHAR",2,185,0.0108108108108108
"254","4721c8eeb671f","F2","ADD_CHAR",4,439,0.00911161731207289
"255","4721c9372008c","F2","ADD_CHAR",15,476,0.0315126050420168
"256","4740d6ab59754","F2","ADD_CHAR",12,404,0.0297029702970297
"257","4741dcd822547","F2","ADD_CHAR",8,1929,0.00414722654224987
"258","4741def554ca4","F2","ADD_CHAR",4,106,0.0377358490566038
"259","4741e178064c7","F2","ADD_CHAR",7,1843,0.00379815518176886
"260","4741e318be5b7","F2","ADD_CHAR",1,29,0.0344827586206897
"261","4748c033b549d","F2","ADD_CHAR",4,52,0.0769230769230769
"262","4748c1fd5e56a","F2","ADD_CHAR",5,238,0.0210084033613445
"263","4748c3b80b045","F2","ADD_CHAR",2,52,0.0384615384615385
"264","4748c6957c5d4","F2","ADD_CHAR",2,30,0.0666666666666667
"265","4748c95eef9a4","F2","ADD_CHAR",1,14,0.0714285714285714
"266","474c3959c5ed2","F2","ADD_CHAR",10,4517,0.00221385875581138
"267","474c395ccbcfa","F2","ADD_CHAR",14,5463,0.00256269449020685
"268","474d724ce4bc9","F2","ADD_CHAR",141,46862,0.00300883445008749
"269","4751a0bb68aa3","F2","ADD_CHAR",1,526,0.00190114068441065
"270","47006af26098f","P1","ADD_CHAR",10,3023,0.00330797221303341
"271","47016c8c29e44","P1","ADD_CHAR",1,511,0.00195694716242661
"272","4701717a42601","P1","ADD_CHAR",1,302,0.0033112582781457
"273","470193cc37adf","P1","ADD_CHAR",10,4119,0.00242777373148823
"274","4701c1caa2612","P1","ADD_CHAR",2,492,0.0040650406504065
"275","4701c8509064e","P1","ADD_CHAR",18,6969,0.00258286698235041
"276","4701cb03f32bc","P1","ADD_CHAR",2,940,0.00212765957446809
"277","470218c0c5725","P1","ADD_CHAR",2,591,0.00338409475465313
"278","47023565c88f3","P1","ADD_CHAR",1,997,0.00100300902708124
"279","470295cc33ed4","P1","ADD_CHAR",2,481,0.00415800415800416
"280","4702cd148e2f1","P1","ADD_CHAR",3,105,0.0285714285714286
"281","4703888546eeb","P1","ADD_CHAR",11,3938,0.00279329608938547
"282","47042c4949ecc","P1","ADD_CHAR",12,5120,0.00234375
"283","470443bc1e2b2","P1","ADD_CHAR",10,10464,0.00095565749235474
"284","4704613de39a6","P1","ADD_CHAR",2,1786,0.00111982082866741
"285","470467677f591","P1","ADD_CHAR",11,6681,0.00164646011076186
"286","4704ed6571a4b","P1","ADD_CHAR",10,3805,0.0026281208935611
"287","4705a68920a92","P1","ADD_CHAR",3,1350,0.00222222222222222
"288","4706e78f6e63d","P1","ADD_CHAR",13,6479,0.00200648248186449
"289","4706f68ad2db7","P1","ADD_CHAR",2,1775,0.00112676056338028
"290","470707e858e9f","P1","ADD_CHAR",21,8101,0.00259227255894334
"291","470842b39869a","P1","ADD_CHAR",3,1484,0.00202156334231806
"292","47090c659beef","P1","ADD_CHAR",21,2584,0.00812693498452012
"293","47099bcfc5545","P1","ADD_CHAR",6,2759,0.00217470097861544
"294","470a18a0bcbab","P1","ADD_CHAR",33,16691,0.00197711341441495
"295","470c3f8f47700","P1","ADD_CHAR",15,8316,0.0018037518037518
"296","470c4117c67cf","P1","ADD_CHAR",19,9559,0.00198765561251177
"297","470c41cebf240","P1","ADD_CHAR",1,1002,0.000998003992015968
"298","470c5b3f21051","P1","ADD_CHAR",3,1196,0.00250836120401338
"299","470d4a1adba03","P1","ADD_CHAR",2,295,0.00677966101694915
"300","470d6ad64c675","P1","ADD_CHAR",14,4027,0.00347653339955302
"301","470e013364adf","P1","ADD_CHAR",46,28801,0.00159716676504288
"302","47102b6718852","P1","ADD_CHAR",10,2914,0.00343170899107756
"303","4710a35875673","P1","ADD_CHAR",100,31174,0.00320780137293899
"304","4710a3cd52093","P1","ADD_CHAR",57,21988,0.00259232308531927
"305","471123bd6e29d","P1","ADD_CHAR",1,325,0.00307692307692308
"306","4711976216b13","P1","ADD_CHAR",3,1772,0.00169300225733634
"307","4712043fe5b10","P1","ADD_CHAR",1,896,0.00111607142857143
"308","4712b3c0d4075","P1","ADD_CHAR",11,3693,0.00297860817763336
"309","4713eb439fedf","P1","ADD_CHAR",9,5780,0.00155709342560554
"310","471926aff0f06","P1","ADD_CHAR",59,6892,0.00856065002901915
"311","471ad031a9d2b","P1","ADD_CHAR",3,1188,0.00252525252525253
"312","471ada99e379d","P1","ADD_CHAR",9,3520,0.00255681818181818
"313","471b574e36a35","P1","ADD_CHAR",11,6483,0.00169674533395033
"314","471b934d68326","P1","ADD_CHAR",10,6625,0.00150943396226415
"315","471baab754890","P1","ADD_CHAR",12,7111,0.00168752636759949
"316","471bd17adea7b","P1","ADD_CHAR",2,1679,0.00119118522930316
"317","471c0c1f6b463","P1","ADD_CHAR",5,3442,0.00145264381173736
"318","471ebc03d98f8","P1","ADD_CHAR",20,8786,0.00227634873662645
"319","471f000feaf88","P1","ADD_CHAR",26,14601,0.00178069995205808
"320","471f9ce7eec5f","P1","ADD_CHAR",30,4690,0.00639658848614072
"321","471ff1f0e4762","P1","ADD_CHAR",1,202,0.00495049504950495
"322","47215ac3a07f3","P1","ADD_CHAR",4,640,0.00625
"323","4721c692c1ffd","P1","ADD_CHAR",1,549,0.00182149362477231
"324","4721c6f4118ca","P1","ADD_CHAR",1,228,0.0043859649122807
"325","4721c7ed9c966","P1","ADD_CHAR",1,444,0.00225225225225225
"326","4721c8eeb671f","P1","ADD_CHAR",1,188,0.00531914893617021
"327","47223e4db3eb7","P1","ADD_CHAR",1,386,0.00259067357512953
"328","472290155979b","P1","ADD_CHAR",9,4665,0.00192926045016077
"329","472375e404762","P1","ADD_CHAR",10,3917,0.00255297421496043
"330","4724bb0db9d66","P1","ADD_CHAR",6,2602,0.00230591852421214
"331","472526bf68760","P1","ADD_CHAR",11,3639,0.0030228084638637
